sample_id,sampled_date,analyzed_date,run_or_plate_id,measurement_type,subtype,subsubtype,standard_sample_blank,tech_rep_number,std_co2_amount,std_co2_units,value,units,pre_post_wet,cc_treatment,drying_treatment,sample_type,co2_timepoint_h,notes
036,20220216,20220216,NA,licor,NA,NA,sample,1,NA,NA,3989.023969672403,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
036,20220216,20220216,NA,licor,NA,NA,sample,2,NA,NA,2820.0664862906806,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
036,20220216,20220216,NA,licor,NA,NA,sample,3,NA,NA,1661.5994235108908,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
036,20220216,20220216,NA,licor,NA,NA,sample,4,NA,NA,1360.738320776931,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
036,20220216,20220216,NA,licor,NA,NA,sample,5,NA,NA,4278.554128463129,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
036,20220216,20220216,NA,licor,NA,NA,sample,6,NA,NA,2027.4848451614992,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
036,20220216,20220216,NA,licor,NA,NA,sample,7,NA,NA,4598.098383552654,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
040,20220216,20220216,NA,licor,NA,NA,sample,1,NA,NA,88939.0432192458,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
040,20220216,20220216,NA,licor,NA,NA,sample,2,NA,NA,112508.65549988361,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
040,20220216,20220216,NA,licor,NA,NA,sample,3,NA,NA,126311.29792512892,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
040,20220216,20220216,NA,licor,NA,NA,sample,4,NA,NA,149452.7296544798,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
040,20220216,20220216,NA,licor,NA,NA,sample,5,NA,NA,135714.4991994599,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
040,20220216,20220216,NA,licor,NA,NA,sample,6,NA,NA,112363.24913572862,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
040,20220216,20220216,NA,licor,NA,NA,sample,7,NA,NA,107020.78888794518,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
046,20220216,20220216,NA,licor,NA,NA,sample,1,NA,NA,151690.20419461667,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
046,20220216,20220216,NA,licor,NA,NA,sample,2,NA,NA,115330.70470463,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
046,20220216,20220216,NA,licor,NA,NA,sample,3,NA,NA,91838.44059406192,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
046,20220216,20220216,NA,licor,NA,NA,sample,4,NA,NA,83448.7580206418,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
046,20220216,20220216,NA,licor,NA,NA,sample,5,NA,NA,101065.68950762508,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
046,20220216,20220216,NA,licor,NA,NA,sample,6,NA,NA,89311.68838955638,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
046,20220216,20220216,NA,licor,NA,NA,sample,7,NA,NA,84246.59986159051,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
098,20220216,20220216,NA,licor,NA,NA,sample,1,NA,NA,4169.061286432413,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
098,20220216,20220216,NA,licor,NA,NA,sample,2,NA,NA,2528.30899261089,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
098,20220216,20220216,NA,licor,NA,NA,sample,3,NA,NA,1641.2489387625835,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
098,20220216,20220216,NA,licor,NA,NA,sample,4,NA,NA,1155.051264263563,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
098,20220216,20220216,NA,licor,NA,NA,sample,5,NA,NA,2947.709261060332,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
098,20220216,20220216,NA,licor,NA,NA,sample,6,NA,NA,1076.55882328022,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
098,20220216,20220216,NA,licor,NA,NA,sample,7,NA,NA,2662.0480295675534,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
10000ppm,20220216,20220216,NA,licor,NA,NA,standard,1,10000,ppm,18884.7581804361,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220216,20220216,NA,licor,NA,NA,standard,2,10000,ppm,12643.55729350759,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220216,20220216,NA,licor,NA,NA,standard,3,10000,ppm,9428.993977435915,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220216,20220216,NA,licor,NA,NA,standard,4,10000,ppm,10288.336952111766,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220216,20220216,NA,licor,NA,NA,standard,5,10000,ppm,9480.397778704377,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220216,20220216,NA,licor,NA,NA,standard,6,10000,ppm,4503.935232453691,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220216,20220216,NA,licor,NA,NA,standard,1,1000,ppm,894.11756112922,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220216,20220216,NA,licor,NA,NA,standard,2,1000,ppm,575.3522940987908,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220216,20220216,NA,licor,NA,NA,standard,3,1000,ppm,1006.9148942211688,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220216,20220216,NA,licor,NA,NA,standard,4,1000,ppm,1520.369398972926,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220216,20220216,NA,licor,NA,NA,standard,5,1000,ppm,884.8744846489841,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220216,20220216,NA,licor,NA,NA,standard,6,1000,ppm,1466.9931389721958,auc,NA,NA,NA,NA,NA,NA
100ppm,20220216,20220216,NA,licor,NA,NA,standard,1,100,ppm,289.9728766516478,auc,NA,NA,NA,NA,NA,NA
100ppm,20220216,20220216,NA,licor,NA,NA,standard,2,100,ppm,148.9033287888529,auc,NA,NA,NA,NA,NA,NA
100ppm,20220216,20220216,NA,licor,NA,NA,standard,3,100,ppm,66.43737286992577,auc,NA,NA,NA,NA,NA,NA
100ppm,20220216,20220216,NA,licor,NA,NA,standard,4,100,ppm,69.64693585077461,auc,NA,NA,NA,NA,NA,NA
100ppm,20220216,20220216,NA,licor,NA,NA,standard,5,100,ppm,38.933465646889715,auc,NA,NA,NA,NA,NA,NA
100ppm,20220216,20220216,NA,licor,NA,NA,standard,6,100,ppm,127.14832123077105,auc,NA,NA,NA,NA,NA,NA
110,20220216,20220216,NA,licor,NA,NA,sample,1,NA,NA,639226.8071256003,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
110,20220216,20220216,NA,licor,NA,NA,sample,2,NA,NA,283295.5605896568,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
110,20220216,20220216,NA,licor,NA,NA,sample,3,NA,NA,153184.65129728062,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
110,20220216,20220216,NA,licor,NA,NA,sample,4,NA,NA,226905.7740540109,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
110,20220216,20220216,NA,licor,NA,NA,sample,5,NA,NA,224938.78567029673,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
110,20220216,20220216,NA,licor,NA,NA,sample,6,NA,NA,181996.30448003352,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
110,20220216,20220216,NA,licor,NA,NA,sample,7,NA,NA,140740.71215820312,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
110,20220216,20220216,NA,licor,NA,NA,sample,8,NA,NA,387306.58020236256,auc,post_co2,w_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
023,20220217,20220217,NA,licor,NA,NA,sample,1,NA,NA,2409.6367940885657,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
023,20220217,20220217,NA,licor,NA,NA,sample,2,NA,NA,2865.0962669434925,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
023,20220217,20220217,NA,licor,NA,NA,sample,3,NA,NA,2922.618753772805,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
023,20220217,20220217,NA,licor,NA,NA,sample,4,NA,NA,3378.5781844781623,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
023,20220217,20220217,NA,licor,NA,NA,sample,5,NA,NA,2653.8242029240655,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
023,20220217,20220217,NA,licor,NA,NA,sample,6,NA,NA,2022.6316064019716,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
023,20220217,20220217,NA,licor,NA,NA,sample,7,NA,NA,3222.940207887267,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
036,20220217,20220217,NA,licor,NA,NA,sample,1,NA,NA,2424.983538149197,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
036,20220217,20220217,NA,licor,NA,NA,sample,2,NA,NA,1873.0533056427828,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
036,20220217,20220217,NA,licor,NA,NA,sample,3,NA,NA,2146.3618711145086,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
036,20220217,20220217,NA,licor,NA,NA,sample,4,NA,NA,3670.346715999761,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
036,20220217,20220217,NA,licor,NA,NA,sample,5,NA,NA,2318.170917499816,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
040,20220217,20220217,NA,licor,NA,NA,sample,1,NA,NA,138082.66135610925,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
040,20220217,20220217,NA,licor,NA,NA,sample,2,NA,NA,149587.81293621458,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
040,20220217,20220217,NA,licor,NA,NA,sample,3,NA,NA,124552.23153179552,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
040,20220217,20220217,NA,licor,NA,NA,sample,4,NA,NA,109917.31451797312,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
040,20220217,20220217,NA,licor,NA,NA,sample,5,NA,NA,119827.22462417177,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
046,20220217,20220217,NA,licor,NA,NA,sample,1,NA,NA,72689.83166222397,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
046,20220217,20220217,NA,licor,NA,NA,sample,2,NA,NA,89640.35157772002,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
046,20220217,20220217,NA,licor,NA,NA,sample,3,NA,NA,58073.635158870915,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
046,20220217,20220217,NA,licor,NA,NA,sample,4,NA,NA,92746.56940687256,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
046,20220217,20220217,NA,licor,NA,NA,sample,5,NA,NA,144608.09304356918,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
098,20220217,20220217,NA,licor,NA,NA,sample,1,NA,NA,2051.0051592441064,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
098,20220217,20220217,NA,licor,NA,NA,sample,2,NA,NA,1781.6729444604389,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
098,20220217,20220217,NA,licor,NA,NA,sample,3,NA,NA,2539.7137867960732,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
098,20220217,20220217,NA,licor,NA,NA,sample,4,NA,NA,1990.2084330594264,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
098,20220217,20220217,NA,licor,NA,NA,sample,5,NA,NA,1085.7215468130646,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
098,20220217,20220217,NA,licor,NA,NA,sample,6,NA,NA,2283.7771423884874,auc,post_co2,no_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
10000ppm,20220217,20220217,NA,licor,NA,NA,standard,1,10000,ppm,16469.639778397293,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220217,20220217,NA,licor,NA,NA,standard,2,10000,ppm,9733.122179072932,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220217,20220217,NA,licor,NA,NA,standard,3,10000,ppm,10469.79834651844,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220217,20220217,NA,licor,NA,NA,standard,4,10000,ppm,11540.35068947992,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220217,20220217,NA,licor,NA,NA,standard,5,10000,ppm,10191.92716383007,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220217,20220217,NA,licor,NA,NA,standard,6,10000,ppm,10541.943321511366,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220217,20220217,NA,licor,NA,NA,standard,1,1000,ppm,973.0456768266044,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220217,20220217,NA,licor,NA,NA,standard,2,1000,ppm,939.9724127424232,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220217,20220217,NA,licor,NA,NA,standard,3,1000,ppm,871.9167872090894,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220217,20220217,NA,licor,NA,NA,standard,4,1000,ppm,309.86568813401743,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220217,20220217,NA,licor,NA,NA,standard,5,1000,ppm,934.4626817417434,auc,NA,NA,NA,NA,NA,NA
100ppm,20220217,20220217,NA,licor,NA,NA,standard,1,100,ppm,86.49689829992602,auc,NA,NA,NA,NA,NA,NA
100ppm,20220217,20220217,NA,licor,NA,NA,standard,2,100,ppm,110.0669327951947,auc,NA,NA,NA,NA,NA,NA
100ppm,20220217,20220217,NA,licor,NA,NA,standard,3,100,ppm,98.4395365341644,auc,NA,NA,NA,NA,NA,NA
100ppm,20220217,20220217,NA,licor,NA,NA,standard,4,100,ppm,155.43124112710862,auc,NA,NA,NA,NA,NA,NA
100ppm,20220217,20220217,NA,licor,NA,NA,standard,5,100,ppm,86.12715293214085,auc,NA,NA,NA,NA,NA,NA
100ppm,20220217,20220217,NA,licor,NA,NA,standard,6,100,ppm,165.8689984130932,auc,NA,NA,NA,NA,NA,NA
110,20220217,20220217,NA,licor,NA,NA,sample,1,NA,NA,70512.4656955031,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
110,20220217,20220217,NA,licor,NA,NA,sample,2,NA,NA,266579.82415703096,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
110,20220217,20220217,NA,licor,NA,NA,sample,3,NA,NA,217559.7127070669,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
110,20220217,20220217,NA,licor,NA,NA,sample,4,NA,NA,192030.9664576698,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
110,20220217,20220217,NA,licor,NA,NA,sample,5,NA,NA,336024.9724475394,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
110,20220217,20220217,NA,licor,NA,NA,sample,6,NA,NA,267079.3110037341,auc,post_co2,w_cc,initial,co2_only,72,"used drying two_wk, post_co2 jars"
