Sample 1
4/12/2022 4:15 PM
Wavelength (nm)	10mm Absorbance
279.5	0.755
280.0	0.741
280.5	0.726
281.0	0.713
281.5	0.699
282.0	0.686
282.5	0.672
283.0	0.657
283.5	0.643
284.0	0.630
284.5	0.619
285.0	0.607
285.5	0.595
286.0	0.583
286.5	0.570
287.0	0.556
287.5	0.541
288.0	0.528
288.5	0.515
289.0	0.502
289.5	0.488
290.0	0.475
290.5	0.462
291.0	0.448
291.5	0.434
292.0	0.419
292.5	0.404
293.0	0.390
293.5	0.376
294.0	0.363
294.5	0.352
295.0	0.338
295.5	0.326
296.0	0.315
296.5	0.307
297.0	0.297
297.5	0.288
298.0	0.281
298.5	0.272
299.0	0.264
299.5	0.258
300.0	0.251
300.5	0.245
301.0	0.240
301.5	0.233
302.0	0.225
302.5	0.218
303.0	0.214
303.5	0.208
304.0	0.200
304.5	0.195
305.0	0.190
305.5	0.185
306.0	0.180
306.5	0.173
307.0	0.169
307.5	0.165
308.0	0.160
308.5	0.157
309.0	0.155
309.5	0.153
310.0	0.149
310.5	0.145
311.0	0.141
311.5	0.139
312.0	0.137
312.5	0.133
313.0	0.130
313.5	0.127
314.0	0.125
314.5	0.123
315.0	0.119
315.5	0.117
316.0	0.115
316.5	0.111
317.0	0.107
317.5	0.105
318.0	0.102
318.5	0.100
319.0	0.098
319.5	0.094
320.0	0.091
320.5	0.090
321.0	0.088
321.5	0.086
322.0	0.083
322.5	0.081
323.0	0.079
323.5	0.076
324.0	0.074
324.5	0.073
325.0	0.071
325.5	0.068
326.0	0.066
326.5	0.062
327.0	0.059
327.5	0.059
328.0	0.057
328.5	0.053
329.0	0.051
329.5	0.048
330.0	0.046
330.5	0.043
331.0	0.037
331.5	0.033
332.0	0.031
332.5	0.028
333.0	0.026
333.5	0.027
334.0	0.025
334.5	0.024
335.0	0.021
335.5	0.017
336.0	0.014
336.5	0.014
337.0	0.012
337.5	0.011
338.0	0.008
338.5	0.008
339.0	0.007
339.5	0.004
340.0	0.000
340.5	-0.002
341.0	-0.005
341.5	-0.007
342.0	-0.012
342.5	-0.013
343.0	-0.015
343.5	-0.016
344.0	-0.019
344.5	-0.021
345.0	-0.024
345.5	-0.027
346.0	-0.030
346.5	-0.031
347.0	-0.033
347.5	-0.033
348.0	-0.035
348.5	-0.037
349.0	-0.039
349.5	-0.040
350.0	-0.044


Sample 2
4/12/2022 4:17 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.03333	
//WLCalib: 261S 	0.56000	
//WLCalib: 362S 	0.57000	
//WLCalib: 484S 	0.97000	
//WLCalib: 529S 	0.93000	
//WLCalib: 823S 	0.45000	
//QSpecEnd: 
220.0	1.382
220.5	1.360
221.0	1.336
221.5	1.308
222.0	1.286
222.5	1.262
223.0	1.244
223.5	1.222
224.0	1.198
224.5	1.178
225.0	1.159
225.5	1.142
226.0	1.132
226.5	1.123
227.0	1.113
227.5	1.106
228.0	1.099
228.5	1.094
229.0	1.091
229.5	1.087
230.0	1.084
230.5	1.080
231.0	1.078
231.5	1.077
232.0	1.074
232.5	1.072
233.0	1.072
233.5	1.070
234.0	1.069
234.5	1.069
235.0	1.071
235.5	1.073
236.0	1.077
236.5	1.081
237.0	1.083
237.5	1.090
238.0	1.099
238.5	1.107
239.0	1.114
239.5	1.125
240.0	1.134
240.5	1.140
241.0	1.146
241.5	1.152
242.0	1.158
242.5	1.165
243.0	1.173
243.5	1.182
244.0	1.190
244.5	1.198
245.0	1.206
245.5	1.211
246.0	1.218
246.5	1.225
247.0	1.232
247.5	1.237
248.0	1.244
248.5	1.251
249.0	1.257
249.5	1.262
250.0	1.267
250.5	1.271
251.0	1.275
251.5	1.280
252.0	1.286
252.5	1.290
253.0	1.295
253.5	1.299
254.0	1.301
254.5	1.300
255.0	1.298
255.5	1.296
256.0	1.294
256.5	1.289
257.0	1.284
257.5	1.279
258.0	1.275
258.5	1.270
259.0	1.265
259.5	1.260
260.0	1.255
260.5	1.250
261.0	1.245
261.5	1.241
262.0	1.237
262.5	1.231
263.0	1.224
263.5	1.216
264.0	1.205
264.5	1.192
265.0	1.177
265.5	1.164
266.0	1.150
266.5	1.138
267.0	1.126
267.5	1.115
268.0	1.102
268.5	1.088
269.0	1.072
269.5	1.058
270.0	1.045
270.5	1.034
271.0	1.021
271.5	1.006
272.0	0.996
272.5	0.983
273.0	0.970
273.5	0.957
274.0	0.943
274.5	0.930
275.0	0.917
275.5	0.904
276.0	0.889
276.5	0.874
277.0	0.859
277.5	0.843
278.0	0.827
278.5	0.811
279.0	0.795
279.5	0.782
280.0	0.767
280.5	0.751
281.0	0.735
281.5	0.721
282.0	0.705
282.5	0.689
283.0	0.673
283.5	0.658
284.0	0.644
284.5	0.631
285.0	0.619
285.5	0.607
286.0	0.593
286.5	0.578
287.0	0.563
287.5	0.546
288.0	0.533
288.5	0.520
289.0	0.507
289.5	0.493
290.0	0.480
290.5	0.466
291.0	0.451
291.5	0.435
292.0	0.419
292.5	0.403
293.0	0.389
293.5	0.374
294.0	0.361
294.5	0.347
295.0	0.333
295.5	0.321
296.0	0.308
296.5	0.298
297.0	0.287
297.5	0.280
298.0	0.271
298.5	0.262
299.0	0.254
299.5	0.245
300.0	0.239
300.5	0.231
301.0	0.226
301.5	0.217
302.0	0.211
302.5	0.205
303.0	0.200
303.5	0.193
304.0	0.186
304.5	0.180
305.0	0.174
305.5	0.169
306.0	0.165
306.5	0.161
307.0	0.157
307.5	0.153
308.0	0.149
308.5	0.145
309.0	0.141
309.5	0.139
310.0	0.134
310.5	0.130
311.0	0.127
311.5	0.126
312.0	0.124
312.5	0.121
313.0	0.118
313.5	0.115
314.0	0.111
314.5	0.108
315.0	0.106
315.5	0.103
316.0	0.102
316.5	0.098
317.0	0.095
317.5	0.094
318.0	0.091
318.5	0.088
319.0	0.084
319.5	0.081
320.0	0.078
320.5	0.077
321.0	0.075
321.5	0.074
322.0	0.072
322.5	0.069
323.0	0.066
323.5	0.064
324.0	0.062
324.5	0.060
325.0	0.059
325.5	0.056
326.0	0.055
326.5	0.055
327.0	0.054
327.5	0.052
328.0	0.050
328.5	0.048
329.0	0.046
329.5	0.044
330.0	0.042
330.5	0.041
331.0	0.037
331.5	0.034
332.0	0.034
332.5	0.031
333.0	0.029
333.5	0.028
334.0	0.026
334.5	0.025
335.0	0.022
335.5	0.021
336.0	0.019
336.5	0.017
337.0	0.014
337.5	0.014
338.0	0.012
338.5	0.011
339.0	0.008
339.5	0.004
340.0	0.000
340.5	-0.004
341.0	-0.007
341.5	-0.009
342.0	-0.012
342.5	-0.015
343.0	-0.018
343.5	-0.020
344.0	-0.024
344.5	-0.026
345.0	-0.030
345.5	-0.032
346.0	-0.035
346.5	-0.036
347.0	-0.037
347.5	-0.038
348.0	-0.041
348.5	-0.042
349.0	-0.045
349.5	-0.048
350.0	-0.051


Sample 3
4/12/2022 4:18 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.03333	
//WLCalib: 261S 	0.56000	
//WLCalib: 362S 	0.57000	
//WLCalib: 484S 	0.97000	
//WLCalib: 529S 	0.93000	
//WLCalib: 823S 	0.45000	
//QSpecEnd: 
220.0	1.237
220.5	1.217
221.0	1.196
221.5	1.178
222.0	1.160
222.5	1.144
223.0	1.127
223.5	1.110
224.0	1.092
224.5	1.077
225.0	1.064
225.5	1.051
226.0	1.046
226.5	1.041
227.0	1.036
227.5	1.031
228.0	1.027
228.5	1.023
229.0	1.020
229.5	1.017
230.0	1.014
230.5	1.012
231.0	1.011
231.5	1.010
232.0	1.008
232.5	1.006
233.0	1.006
233.5	1.003
234.0	1.000
234.5	0.999
235.0	0.999
235.5	0.999
236.0	1.002
236.5	1.003
237.0	1.008
237.5	1.014
238.0	1.021
238.5	1.029
239.0	1.037
239.5	1.046
240.0	1.053
240.5	1.058
241.0	1.065
241.5	1.069
242.0	1.074
242.5	1.078
243.0	1.085
243.5	1.093
244.0	1.101
244.5	1.109
245.0	1.115
245.5	1.119
246.0	1.123
246.5	1.128
247.0	1.132
247.5	1.135
248.0	1.141
248.5	1.146
249.0	1.151
249.5	1.155
250.0	1.160
250.5	1.163
251.0	1.166
251.5	1.169
252.0	1.170
252.5	1.171
253.0	1.174
253.5	1.176
254.0	1.177
254.5	1.178
255.0	1.177
255.5	1.174
256.0	1.170
256.5	1.165
257.0	1.163
257.5	1.159
258.0	1.154
258.5	1.149
259.0	1.146
259.5	1.141
260.0	1.137
260.5	1.132
261.0	1.129
261.5	1.125
262.0	1.121
262.5	1.115
263.0	1.108
263.5	1.102
264.0	1.092
264.5	1.081
265.0	1.065
265.5	1.054
266.0	1.043
266.5	1.032
267.0	1.022
267.5	1.012
268.0	1.001
268.5	0.989
269.0	0.975
269.5	0.964
270.0	0.953
270.5	0.943
271.0	0.932
271.5	0.918
272.0	0.908
272.5	0.897
273.0	0.886
273.5	0.876
274.0	0.864
274.5	0.853
275.0	0.841
275.5	0.830
276.0	0.816
276.5	0.802
277.0	0.789
277.5	0.776
278.0	0.762
278.5	0.749
279.0	0.737
279.5	0.725
280.0	0.711
280.5	0.698
281.0	0.683
281.5	0.669
282.0	0.656
282.5	0.645
283.0	0.630
283.5	0.617
284.0	0.604
284.5	0.593
285.0	0.581
285.5	0.570
286.0	0.559
286.5	0.546
287.0	0.531
287.5	0.518
288.0	0.506
288.5	0.495
289.0	0.483
289.5	0.471
290.0	0.457
290.5	0.443
291.0	0.431
291.5	0.418
292.0	0.404
292.5	0.391
293.0	0.380
293.5	0.366
294.0	0.355
294.5	0.344
295.0	0.330
295.5	0.319
296.0	0.308
296.5	0.299
297.0	0.290
297.5	0.282
298.0	0.275
298.5	0.268
299.0	0.260
299.5	0.253
300.0	0.246
300.5	0.238
301.0	0.233
301.5	0.224
302.0	0.216
302.5	0.211
303.0	0.206
303.5	0.200
304.0	0.193
304.5	0.188
305.0	0.182
305.5	0.176
306.0	0.171
306.5	0.165
307.0	0.160
307.5	0.156
308.0	0.153
308.5	0.151
309.0	0.148
309.5	0.144
310.0	0.140
310.5	0.137
311.0	0.133
311.5	0.131
312.0	0.129
312.5	0.127
313.0	0.124
313.5	0.121
314.0	0.118
314.5	0.115
315.0	0.112
315.5	0.110
316.0	0.107
316.5	0.103
317.0	0.100
317.5	0.098
318.0	0.096
318.5	0.093
319.0	0.090
319.5	0.086
320.0	0.083
320.5	0.081
321.0	0.079
321.5	0.077
322.0	0.076
322.5	0.074
323.0	0.071
323.5	0.068
324.0	0.067
324.5	0.066
325.0	0.065
325.5	0.062
326.0	0.061
326.5	0.060
327.0	0.060
327.5	0.059
328.0	0.056
328.5	0.054
329.0	0.053
329.5	0.052
330.0	0.050
330.5	0.048
331.0	0.045
331.5	0.042
332.0	0.039
332.5	0.037
333.0	0.036
333.5	0.034
334.0	0.032
334.5	0.029
335.0	0.026
335.5	0.024
336.0	0.021
336.5	0.020
337.0	0.017
337.5	0.015
338.0	0.013
338.5	0.011
339.0	0.008
339.5	0.005
340.0	0.000
340.5	-0.004
341.0	-0.006
341.5	-0.008
342.0	-0.012
342.5	-0.012
343.0	-0.014
343.5	-0.016
344.0	-0.019
344.5	-0.020
345.0	-0.023
345.5	-0.025
346.0	-0.028
346.5	-0.030
347.0	-0.031
347.5	-0.032
348.0	-0.033
348.5	-0.034
349.0	-0.036
349.5	-0.039
350.0	-0.043


Sample 4
4/12/2022 4:20 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.03333	
//WLCalib: 261S 	0.56000	
//WLCalib: 362S 	0.57000	
//WLCalib: 484S 	0.97000	
//WLCalib: 529S 	0.93000	
//WLCalib: 823S 	0.45000	
//QSpecEnd: 
220.0	1.763
220.5	1.728
221.0	1.700
221.5	1.673
222.0	1.645
222.5	1.619
223.0	1.592
223.5	1.566
224.0	1.541
224.5	1.516
225.0	1.492
225.5	1.472
226.0	1.457
226.5	1.446
227.0	1.438
227.5	1.430
228.0	1.423
228.5	1.417
229.0	1.412
229.5	1.409
230.0	1.405
230.5	1.404
231.0	1.402
231.5	1.400
232.0	1.399
232.5	1.400
233.0	1.401
233.5	1.403
234.0	1.406
234.5	1.410
235.0	1.414
235.5	1.420
236.0	1.431
236.5	1.440
237.0	1.450
237.5	1.463
238.0	1.478
238.5	1.494
239.0	1.510
239.5	1.528
240.0	1.543
240.5	1.556
241.0	1.569
241.5	1.580
242.0	1.591
242.5	1.604
243.0	1.619
243.5	1.636
244.0	1.652
244.5	1.667
245.0	1.681
245.5	1.693
246.0	1.705
246.5	1.719
247.0	1.733
247.5	1.746
248.0	1.758
248.5	1.771
249.0	1.783
249.5	1.794
250.0	1.804
250.5	1.813
251.0	1.823
251.5	1.833
252.0	1.844
252.5	1.853
253.0	1.864
253.5	1.873
254.0	1.879
254.5	1.881
255.0	1.883
255.5	1.882
256.0	1.880
256.5	1.875
257.0	1.868
257.5	1.862
258.0	1.856
258.5	1.849
259.0	1.843
259.5	1.836
260.0	1.830
260.5	1.823
261.0	1.816
261.5	1.809
262.0	1.803
262.5	1.794
263.0	1.784
263.5	1.772
264.0	1.756
264.5	1.738
265.0	1.717
265.5	1.697
266.0	1.678
266.5	1.661
267.0	1.643
267.5	1.624
268.0	1.605
268.5	1.583
269.0	1.561
269.5	1.541
270.0	1.520
270.5	1.502
271.0	1.483
271.5	1.463
272.0	1.443
272.5	1.425
273.0	1.404
273.5	1.382
274.0	1.360
274.5	1.340
275.0	1.319
275.5	1.297
276.0	1.274
276.5	1.248
277.0	1.223
277.5	1.199
278.0	1.175
278.5	1.149
279.0	1.125
279.5	1.102
280.0	1.078
280.5	1.055
281.0	1.032
281.5	1.010
282.0	0.987
282.5	0.964
283.0	0.940
283.5	0.918
284.0	0.898
284.5	0.878
285.0	0.859
285.5	0.839
286.0	0.819
286.5	0.797
287.0	0.773
287.5	0.750
288.0	0.729
288.5	0.709
289.0	0.688
289.5	0.668
290.0	0.647
290.5	0.626
291.0	0.602
291.5	0.578
292.0	0.556
292.5	0.533
293.0	0.513
293.5	0.492
294.0	0.472
294.5	0.453
295.0	0.431
295.5	0.412
296.0	0.395
296.5	0.380
297.0	0.366
297.5	0.353
298.0	0.341
298.5	0.329
299.0	0.318
299.5	0.308
300.0	0.298
300.5	0.289
301.0	0.280
301.5	0.270
302.0	0.260
302.5	0.255
303.0	0.248
303.5	0.239
304.0	0.231
304.5	0.223
305.0	0.217
305.5	0.209
306.0	0.205
306.5	0.199
307.0	0.193
307.5	0.187
308.0	0.181
308.5	0.176
309.0	0.172
309.5	0.169
310.0	0.163
310.5	0.160
311.0	0.156
311.5	0.154
312.0	0.152
312.5	0.148
313.0	0.146
313.5	0.142
314.0	0.139
314.5	0.136
315.0	0.133
315.5	0.130
316.0	0.128
316.5	0.124
317.0	0.120
317.5	0.118
318.0	0.116
318.5	0.112
319.0	0.109
319.5	0.106
320.0	0.103
320.5	0.100
321.0	0.096
321.5	0.095
322.0	0.092
322.5	0.088
323.0	0.085
323.5	0.083
324.0	0.081
324.5	0.080
325.0	0.080
325.5	0.076
326.0	0.074
326.5	0.072
327.0	0.070
327.5	0.068
328.0	0.066
328.5	0.063
329.0	0.061
329.5	0.059
330.0	0.057
330.5	0.055
331.0	0.051
331.5	0.047
332.0	0.043
332.5	0.039
333.0	0.037
333.5	0.036
334.0	0.033
334.5	0.029
335.0	0.026
335.5	0.024
336.0	0.020
336.5	0.018
337.0	0.014
337.5	0.012
338.0	0.012
338.5	0.009
339.0	0.007
339.5	0.004
340.0	0.000
340.5	-0.005
341.0	-0.007
341.5	-0.010
342.0	-0.014
342.5	-0.017
343.0	-0.020
343.5	-0.022
344.0	-0.025
344.5	-0.027
345.0	-0.031
345.5	-0.035
346.0	-0.038
346.5	-0.040
347.0	-0.042
347.5	-0.044
348.0	-0.047
348.5	-0.049
349.0	-0.052
349.5	-0.054
350.0	-0.058


Sample 5
4/12/2022 4:22 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.03333	
//WLCalib: 261S 	0.56000	
//WLCalib: 362S 	0.57000	
//WLCalib: 484S 	0.97000	
//WLCalib: 529S 	0.93000	
//WLCalib: 823S 	0.45000	
//QSpecEnd: 
220.0	2.394
220.5	2.360
221.0	2.328
221.5	2.295
222.0	2.266
222.5	2.237
223.0	2.211
223.5	2.185
224.0	2.156
224.5	2.128
225.0	2.102
225.5	2.078
226.0	2.061
226.5	2.048
227.0	2.036
227.5	2.028
228.0	2.019
228.5	2.013
229.0	2.007
229.5	2.003
230.0	1.999
230.5	1.995
231.0	1.992
231.5	1.988
232.0	1.987
232.5	1.984
233.0	1.984
233.5	1.984
234.0	1.985
234.5	1.987
235.0	1.991
235.5	1.995
236.0	2.003
236.5	2.010
237.0	2.020
237.5	2.030
238.0	2.041
238.5	2.055
239.0	2.069
239.5	2.084
240.0	2.096
240.5	2.107
241.0	2.117
241.5	2.126
242.0	2.136
242.5	2.146
243.0	2.160
243.5	2.176
244.0	2.190
244.5	2.204
245.0	2.217
245.5	2.227
246.0	2.239
246.5	2.250
247.0	2.262
247.5	2.274
248.0	2.287
248.5	2.299
249.0	2.310
249.5	2.319
250.0	2.328
250.5	2.336
251.0	2.344
251.5	2.352
252.0	2.360
252.5	2.368
253.0	2.376
253.5	2.384
254.0	2.388
254.5	2.388
255.0	2.386
255.5	2.382
256.0	2.373
256.5	2.365
257.0	2.356
257.5	2.346
258.0	2.338
258.5	2.330
259.0	2.322
259.5	2.314
260.0	2.305
260.5	2.296
261.0	2.288
261.5	2.279
262.0	2.270
262.5	2.260
263.0	2.248
263.5	2.234
264.0	2.217
264.5	2.196
265.0	2.174
265.5	2.152
266.0	2.128
266.5	2.107
267.0	2.085
267.5	2.063
268.0	2.042
268.5	2.017
269.0	1.991
269.5	1.969
270.0	1.947
270.5	1.925
271.0	1.904
271.5	1.880
272.0	1.858
272.5	1.835
273.0	1.810
273.5	1.787
274.0	1.763
274.5	1.740
275.0	1.717
275.5	1.691
276.0	1.664
276.5	1.637
277.0	1.609
277.5	1.581
278.0	1.551
278.5	1.520
279.0	1.492
279.5	1.465
280.0	1.436
280.5	1.409
281.0	1.382
281.5	1.355
282.0	1.327
282.5	1.300
283.0	1.273
283.5	1.246
284.0	1.221
284.5	1.197
285.0	1.175
285.5	1.152
286.0	1.130
286.5	1.104
287.0	1.076
287.5	1.050
288.0	1.025
288.5	1.001
289.0	0.977
289.5	0.953
290.0	0.929
290.5	0.903
291.0	0.878
291.5	0.851
292.0	0.825
292.5	0.799
293.0	0.776
293.5	0.750
294.0	0.729
294.5	0.706
295.0	0.683
295.5	0.662
296.0	0.643
296.5	0.626
297.0	0.609
297.5	0.595
298.0	0.581
298.5	0.567
299.0	0.553
299.5	0.539
300.0	0.526
300.5	0.514
301.0	0.503
301.5	0.489
302.0	0.477
302.5	0.466
303.0	0.455
303.5	0.443
304.0	0.431
304.5	0.421
305.0	0.412
305.5	0.402
306.0	0.392
306.5	0.382
307.0	0.373
307.5	0.364
308.0	0.355
308.5	0.348
309.0	0.343
309.5	0.336
310.0	0.329
310.5	0.322
311.0	0.315
311.5	0.310
312.0	0.305
312.5	0.299
313.0	0.293
313.5	0.286
314.0	0.281
314.5	0.275
315.0	0.269
315.5	0.265
316.0	0.260
316.5	0.252
317.0	0.246
317.5	0.240
318.0	0.234
318.5	0.228
319.0	0.221
319.5	0.215
320.0	0.208
320.5	0.203
321.0	0.198
321.5	0.194
322.0	0.190
322.5	0.185
323.0	0.180
323.5	0.173
324.0	0.169
324.5	0.164
325.0	0.162
325.5	0.156
326.0	0.152
326.5	0.149
327.0	0.144
327.5	0.141
328.0	0.136
328.5	0.131
329.0	0.125
329.5	0.120
330.0	0.113
330.5	0.107
331.0	0.101
331.5	0.095
332.0	0.090
332.5	0.083
333.0	0.078
333.5	0.075
334.0	0.069
334.5	0.063
335.0	0.056
335.5	0.050
336.0	0.043
336.5	0.039
337.0	0.032
337.5	0.028
338.0	0.023
338.5	0.019
339.0	0.012
339.5	0.005
340.0	0.000
340.5	-0.006
341.0	-0.011
341.5	-0.015
342.0	-0.020
342.5	-0.024
343.0	-0.029
343.5	-0.034
344.0	-0.041
344.5	-0.046
345.0	-0.051
345.5	-0.057
346.0	-0.063
346.5	-0.068
347.0	-0.072
347.5	-0.076
348.0	-0.083
348.5	-0.089
349.0	-0.095
349.5	-0.100
350.0	-0.107


Sample 6
4/12/2022 4:23 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.03333	
//WLCalib: 261S 	0.56000	
//WLCalib: 362S 	0.57000	
//WLCalib: 484S 	0.97000	
//WLCalib: 529S 	0.93000	
//WLCalib: 823S 	0.45000	
//QSpecEnd: 
220.0	1.811
220.5	1.770
221.0	1.733
221.5	1.696
222.0	1.660
222.5	1.629
223.0	1.599
223.5	1.568
224.0	1.537
224.5	1.506
225.0	1.481
225.5	1.455
226.0	1.438
226.5	1.424
227.0	1.413
227.5	1.402
228.0	1.394
228.5	1.386
229.0	1.380
229.5	1.376
230.0	1.371
230.5	1.366
231.0	1.363
231.5	1.360
232.0	1.358
232.5	1.355
233.0	1.355
233.5	1.355
234.0	1.356
234.5	1.357
235.0	1.361
235.5	1.366
236.0	1.373
236.5	1.381
237.0	1.391
237.5	1.403
238.0	1.417
238.5	1.433
239.0	1.450
239.5	1.467
240.0	1.481
240.5	1.493
241.0	1.505
241.5	1.516
242.0	1.527
242.5	1.538
243.0	1.553
243.5	1.569
244.0	1.585
244.5	1.599
245.0	1.613
245.5	1.625
246.0	1.637
246.5	1.650
247.0	1.663
247.5	1.675
248.0	1.689
248.5	1.703
249.0	1.714
249.5	1.725
250.0	1.735
250.5	1.745
251.0	1.755
251.5	1.766
252.0	1.778
252.5	1.789
253.0	1.800
253.5	1.809
254.0	1.816
254.5	1.820
255.0	1.822
255.5	1.821
256.0	1.818
256.5	1.813
257.0	1.808
257.5	1.803
258.0	1.798
258.5	1.791
259.0	1.786
259.5	1.780
260.0	1.774
260.5	1.768
261.0	1.763
261.5	1.756
262.0	1.750
262.5	1.741
263.0	1.731
263.5	1.720
264.0	1.705
264.5	1.688
265.0	1.668
265.5	1.649
266.0	1.631
266.5	1.614
267.0	1.595
267.5	1.577
268.0	1.556
268.5	1.533
269.0	1.511
269.5	1.491
270.0	1.472
270.5	1.455
271.0	1.437
271.5	1.417
272.0	1.399
272.5	1.380
273.0	1.360
273.5	1.340
274.0	1.318
274.5	1.299
275.0	1.278
275.5	1.258
276.0	1.235
276.5	1.211
277.0	1.186
277.5	1.163
278.0	1.137
278.5	1.111
279.0	1.087
279.5	1.063
280.0	1.039
280.5	1.017
281.0	0.995
281.5	0.971
282.0	0.949
282.5	0.927
283.0	0.904
283.5	0.882
284.0	0.861
284.5	0.842
285.0	0.822
285.5	0.802
286.0	0.783
286.5	0.763
287.0	0.740
287.5	0.717
288.0	0.696
288.5	0.675
289.0	0.656
289.5	0.636
290.0	0.615
290.5	0.593
291.0	0.571
291.5	0.548
292.0	0.525
292.5	0.504
293.0	0.485
293.5	0.464
294.0	0.444
294.5	0.426
295.0	0.406
295.5	0.388
296.0	0.372
296.5	0.357
297.0	0.344
297.5	0.331
298.0	0.320
298.5	0.310
299.0	0.299
299.5	0.290
300.0	0.281
300.5	0.271
301.0	0.262
301.5	0.252
302.0	0.243
302.5	0.236
303.0	0.229
303.5	0.222
304.0	0.212
304.5	0.205
305.0	0.199
305.5	0.191
306.0	0.186
306.5	0.179
307.0	0.172
307.5	0.166
308.0	0.162
308.5	0.158
309.0	0.154
309.5	0.152
310.0	0.147
310.5	0.143
311.0	0.139
311.5	0.137
312.0	0.136
312.5	0.132
313.0	0.129
313.5	0.126
314.0	0.123
314.5	0.120
315.0	0.118
315.5	0.116
316.0	0.113
316.5	0.110
317.0	0.106
317.5	0.104
318.0	0.101
318.5	0.098
319.0	0.095
319.5	0.091
320.0	0.088
320.5	0.086
321.0	0.083
321.5	0.082
322.0	0.080
322.5	0.077
323.0	0.073
323.5	0.070
324.0	0.068
324.5	0.068
325.0	0.068
325.5	0.065
326.0	0.064
326.5	0.062
327.0	0.060
327.5	0.058
328.0	0.058
328.5	0.056
329.0	0.055
329.5	0.054
330.0	0.051
330.5	0.049
331.0	0.044
331.5	0.041
332.0	0.037
332.5	0.033
333.0	0.029
333.5	0.029
334.0	0.027
334.5	0.024
335.0	0.022
335.5	0.020
336.0	0.017
336.5	0.015
337.0	0.012
337.5	0.011
338.0	0.009
338.5	0.009
339.0	0.007
339.5	0.004
340.0	0.000
340.5	-0.001
341.0	-0.004
341.5	-0.006
342.0	-0.009
342.5	-0.010
343.0	-0.013
343.5	-0.016
344.0	-0.018
344.5	-0.021
345.0	-0.024
345.5	-0.027
346.0	-0.031
346.5	-0.032
347.0	-0.033
347.5	-0.034
348.0	-0.035
348.5	-0.037
349.0	-0.040
349.5	-0.042
350.0	-0.046

